Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1850,-0.901,-0.151,-0.503,-0.673,-0.607,-0.193,-0.062,0.016,-0.318,-0.752,-0.564,-0.521
1851,-0.045,-0.502,-1.007,-0.689,-0.112,0.052,-0.054,-0.006,0.088,0.058,-0.21,-0.206
1852,-0.353,-0.483,-0.676,-0.719,-0.029,-0.021,-0.012,-0.056,-0.02,-0.07,-0.578,0.188
1853,-0.048,-0.42,-0.505,-0.456,-0.163,0.024,0.067,0.097,-0.195,-0.382,-0.602,-0.362
1854,-0.458,-0.422,-0.085,-0.311,-0.194,-0.35,0.067,0.051,-0.123,0.167,-0.282,-0.159
1855,0.003,-0.371,-0.354,0.066,-0.237,-0.176,-0.214,-0.148,-0.326,-0.121,-0.449,-0.621
1856,0.026,-0.381,-0.508,-0.244,-0.224,-0.09,-0.273,-0.274,-0.369,-0.488,-0.691,-0.487
1857,-0.673,-0.418,-0.464,-0.738,-0.733,-0.199,-0.254,-0.216,-0.338,-0.501,-0.76,-0.124
1858,-0.123,-0.602,-0.566,-0.3,-0.388,-0.287,-0.24,-0.335,-0.376,-0.176,-0.426,-0.483
1859,-0.338,-0.32,-0.264,-0.083,-0.014,-0.129,-0.268,-0.143,-0.387,-0.278,-0.251,-0.498
1860,-0.577,-0.64,-1.268,-0.331,-0.279,-0.104,-0.099,-0.023,-0.014,-0.272,-0.822,-1.08
1861,-1.383,-0.662,-0.394,-0.548,-0.517,-0.103,0.052,0.112,-0.248,-0.414,-0.443,-0.319
1862,-1.113,-1.005,-0.837,-0.798,-0.553,-0.414,-0.34,-0.299,-0.34,-0.517,-0.924,-1.281
1863,0.189,-0.263,-0.335,-0.316,-0.192,-0.289,-0.252,-0.181,-0.217,-0.649,-0.456,-0.655
1864,-0.962,-0.586,-0.507,-0.558,-0.325,0.185,-0.127,0.024,-0.377,-0.694,-0.705,-0.908
1865,-0.012,-0.76,-1.052,-0.736,-0.26,-0.064,-0.168,-0.202,-0.024,-0.219,-0.259,-0.655
1866,-0.101,-0.533,-0.868,-0.533,-0.752,-0.035,0.083,-0.182,-0.362,-0.593,-0.275,-0.333
1867,-0.501,-0.319,-1.072,-0.596,-0.854,-0.356,-0.145,-0.171,-0.128,-0.132,-0.164,-0.422
1868,-0.806,-1.003,-0.514,-0.285,-0.234,-0.068,0.323,-0.122,-0.401,-0.238,-0.661,-0.295
1869,-0.333,0.377,-0.806,-0.52,-0.178,-0.189,-0.164,0.053,-0.039,-0.221,-0.29,-0.674
1870,-0.225,-0.607,-0.553,-0.391,-0.089,-0.053,0.078,-0.176,-0.084,-0.4,-0.203,-1.044
1871,-0.843,-1.115,-0.235,-0.154,-0.449,-0.24,-0.028,-0.121,-0.329,-0.24,-0.871,-0.666
1872,-0.826,-0.86,-0.594,-0.433,-0.035,-0.191,-0.043,0.208,-0.024,-0.185,-0.551,-0.751
1873,-0.481,-0.394,-0.566,-0.687,-0.455,-0.294,-0.115,-0.17,-0.417,-0.313,-0.484,-0.132
1874,-0.1,-0.412,-0.832,-0.385,-0.075,-0.306,-0.181,-0.161,0.007,-0.373,-0.42,-0.287
1875,-0.912,-0.779,-0.735,-0.535,-0.362,-0.118,-0.061,-0.241,-0.313,-0.219,-0.831,-0.701
1876,-0.624,-0.384,-0.415,-0.457,-0.716,-0.149,-0.023,-0.2,-0.249,-0.276,-0.722,-1.004
1877,-0.517,-0.371,-0.178,-0.466,-0.312,0.024,0.09,0.377,0.165,0.045,0.081,-0.155
1878,-0.33,0.281,0.573,0.251,-0.09,0.38,0.093,0.115,0.194,-0.166,-0.094,-0.353
1879,-0.209,-0.267,-0.257,-0.447,-0.318,-0.315,-0.22,-0.311,-0.242,-0.021,-0.59,-0.839
1880,-0.477,-0.64,-0.359,-0.465,-0.303,-0.302,-0.307,-0.18,-0.325,-0.42,-0.345,-0.484
1881,-0.234,-0.32,-0.379,-0.042,-0.148,-0.378,-0.187,-0.077,-0.28,-0.34,-0.608,-0.415
1882,0.099,-0.164,-0.241,-0.431,-0.414,-0.447,-0.417,-0.241,-0.195,-0.573,-0.574,-0.879
1883,-0.769,-0.802,-0.398,-0.431,-0.378,-0.242,-0.227,-0.273,-0.299,-0.33,-0.62,-0.356
1884,-0.535,-0.468,-0.833,-0.741,-0.65,-0.563,-0.599,-0.593,-0.684,-0.556,-0.844,-0.548
1885,-0.946,-0.68,-0.455,-0.701,-0.607,-0.627,-0.368,-0.274,-0.36,-0.355,-0.581,-0.163
1886,-0.58,-0.672,-0.665,-0.389,-0.34,-0.468,-0.15,-0.389,-0.386,-0.402,-0.617,-0.289
1887,-1.021,-0.77,-0.427,-0.484,-0.439,-0.443,-0.334,-0.507,-0.292,-0.413,-0.382,-0.421
1888,-0.67,-0.754,-0.698,-0.299,-0.376,-0.177,-0.198,-0.233,-0.285,-0.105,-0.293,-0.381
1889,-0.512,0.032,-0.171,-0.021,-0.159,-0.088,-0.194,-0.214,-0.237,-0.363,-0.737,-0.461
1890,-0.678,-0.529,-0.731,-0.484,-0.525,-0.464,-0.435,-0.422,-0.441,-0.3,-0.811,-0.466
1891,-0.682,-0.826,-0.444,-0.546,-0.388,-0.267,-0.277,-0.204,-0.13,-0.366,-0.698,-0.116
1892,-0.591,-0.383,-0.785,-0.642,-0.503,-0.31,-0.531,-0.494,-0.352,-0.368,-0.94,-1.014
1893,-1.556,-1.231,-0.553,-0.466,-0.622,-0.287,-0.119,-0.235,-0.322,-0.248,-0.425,-0.615
1894,-0.849,-0.438,-0.482,-0.465,-0.366,-0.522,-0.202,-0.226,-0.301,-0.307,-0.549,-0.604
1895,-0.88,-0.808,-0.744,-0.352,-0.408,-0.447,-0.249,-0.402,-0.187,-0.19,-0.311,-0.364
1896,-0.386,-0.377,-0.839,-0.749,-0.31,-0.055,-0.111,-0.12,-0.004,0.02,-0.486,-0.102
1897,-0.446,-0.526,-0.688,-0.119,0.012,-0.092,-0.002,-0.072,-0.045,-0.104,-0.429,-0.508
1898,-0.068,-0.636,-1.114,-0.548,-0.448,-0.228,-0.209,-0.276,-0.273,-0.431,-0.533,-0.402
1899,-0.295,-0.723,-0.842,-0.403,-0.327,-0.506,-0.249,-0.126,-0.063,-0.041,0.15,-0.573
1900,-0.734,-0.349,-0.097,-0.207,-0.198,-0.102,-0.155,-0.137,-0.101,0.134,-0.293,-0.135
1901,-0.304,-0.184,0.005,-0.005,-0.251,-0.105,-0.135,-0.095,-0.277,-0.335,-0.368,-0.525
1902,-0.433,-0.13,-0.58,-0.534,-0.503,-0.471,-0.379,-0.298,-0.373,-0.438,-0.69,-0.69
1903,-0.369,-0.079,-0.413,-0.562,-0.516,-0.544,-0.474,-0.587,-0.534,-0.596,-0.636,-0.751
1904,-0.916,-0.853,-0.73,-0.66,-0.55,-0.49,-0.55,-0.424,-0.625,-0.442,-0.247,-0.453
1905,-0.484,-0.924,-0.608,-0.629,-0.446,-0.339,-0.259,-0.276,-0.251,-0.285,-0.069,-0.272
1906,-0.419,-0.611,-0.284,-0.012,-0.324,-0.058,-0.311,-0.115,-0.189,-0.148,-0.509,-0.144
1907,-0.672,-0.767,-0.558,-0.539,-0.735,-0.583,-0.405,-0.461,-0.368,-0.175,-0.591,-0.588
1908,-0.478,-0.408,-0.897,-0.569,-0.374,-0.28,-0.319,-0.404,-0.252,-0.404,-0.693,-0.657
1909,-0.891,-0.501,-0.753,-0.673,-0.554,-0.444,-0.409,-0.295,-0.322,-0.369,-0.189,-0.527
1910,-0.377,-0.461,-0.614,-0.531,-0.466,-0.556,-0.38,-0.333,-0.363,-0.348,-0.644,-0.823
1911,-0.724,-0.7,-0.748,-0.518,-0.508,-0.343,-0.348,-0.386,-0.318,-0.199,-0.269,-0.376
1912,-0.44,-0.277,-0.792,-0.335,-0.271,-0.119,-0.52,-0.661,-0.765,-0.845,-0.605,-0.734
1913,-0.64,-0.759,-0.701,-0.575,-0.62,-0.579,-0.545,-0.367,-0.398,-0.438,-0.305,-0.009
1914,0.11,-0.247,-0.536,-0.493,-0.276,-0.276,-0.307,-0.244,-0.278,-0.088,-0.339,-0.254
1915,-0.307,-0.242,-0.318,-0.037,-0.078,-0.094,-0.142,-0.014,-0.13,-0.347,-0.076,-0.321
1916,-0.312,-0.304,-0.582,-0.405,-0.389,-0.453,-0.222,-0.298,-0.398,-0.381,-0.505,-1.072
